iter	Passed	Remaining
451	1080	1310
452	1082	1307
453	1084	1303
454	1085	1300
455	1092	1303
456	1096	1302
457	1098	1299
458	1099	1295
459	1100	1292
460	1103	1289
461	1107	1289
462	1110	1287
463	1111	1284
464	1113	1281
465	1115	1278
466	1124	1283
467	1126	1281
468	1129	1278
469	1130	1275
470	1133	1272
471	1138	1273
472	1142	1272
473	1144	1269
474	1146	1266
475	1152	1268
476	1153	1265
477	1155	1261
478	1156	1257
479	1158	1254
480	1159	1251
481	1164	1251
482	1167	1249
483	1169	1246
484	1170	1242
485	1171	1239
486	1173	1236
487	1174	1232
488	1177	1230
489	1180	1228
490	1182	1226
491	1184	1222
492	1185	1219
493	1187	1216
494	1188	1212
495	1190	1209
496	1192	1207
497	1195	1204
498	1197	1202
499	1198	1198
500	1200	1195
501	1201	1192
502	1203	1188
503	1206	1187
504	1209	1185
505	1211	1182
506	1212	1179
507	1214	1176
508	1216	1173
509	1217	1169
510	1219	1167
511	1221	1164
512	1224	1162
513	1226	1159
514	1227	1156
515	1229	1152
516	1230	1149
517	1232	1146
518	1233	1143
519	1241	1145
520	1242	1142
521	1244	1139
522	1245	1136
523	1246	1132
524	1248	1129
525	1251	1127
526	1253	1125
527	1255	1122
528	1256	1118
529	1258	1115
530	1259	1112
531	1261	1109
532	1264	1107
533	1266	1105
534	1268	1102
535	1269	1099
536	1271	1095
537	1272	1092
538	1273	1089
539	1275	1086
540	1278	1084
541	1281	1082
542	1282	1079
543	1284	1076
544	1285	1073
545	1287	1070
546	1288	1067
547	1290	1064
548	1292	1061
549	1295	1059
550	1297	1057
551	1298	1054
552	1300	1051
553	1301	1048
554	1303	1044
555	1304	1041
556	1305	1038
557	1307	1035
558	1310	1033
559	1311	1030
560	1312	1027
561	1313	1024
562	1314	1020
563	1316	1017
564	1317	1014
565	1318	1011
566	1320	1008
567	1322	1005
568	1324	1002
569	1325	999
570	1326	996
571	1327	993
572	1329	990
573	1330	987
574	1331	984
575	1333	981
576	1335	979
577	1337	976
578	1339	973
579	1340	970
580	1341	967
581	1343	964
582	1344	961
583	1345	958
584	1347	955
585	1348	952
586	1350	949
587	1352	947
588	1353	944
589	1355	941
590	1356	938
591	1357	935
592	1359	932
593	1360	929
594	1361	926
595	1363	923
596	1364	921
597	1367	919
598	1368	916
599	1370	913
600	1372	911
601	1374	908
602	1376	906
603	1379	904
604	1382	902
605	1384	899
606	1385	897
607	1386	894
608	1388	891
609	1389	888
610	1391	885
611	1398	886
612	1400	884
613	1403	882
614	1404	879
615	1406	876
616	1407	873
617	1409	871
618	1412	869
619	1415	867
620	1417	865
621	1418	862
622	1420	859
623	1421	856
624	1424	854
625	1427	852
626	1429	850
627	1430	847
628	1432	844
629	1433	842
630	1435	839
631	1436	836
632	1439	834
633	1443	833
634	1444	830
635	1447	828
636	1448	825
637	1449	822
638	1451	819
639	1455	818
640	1458	816
641	1460	814
642	1462	811
643	1463	808
644	1464	806
645	1466	803
646	1470	802
647	1473	800
648	1475	797
649	1477	795
650	1479	793
651	1482	791
652	1488	790
653	1490	788
654	1492	785
655	1493	783
656	1494	780
657	1497	778
658	1499	776
659	1502	774
660	1504	771
661	1506	768
662	1507	766
663	1508	763
664	1510	760
665	1515	760
666	1517	757
667	1518	754
668	1520	752
669	1521	749
670	1523	746
671	1524	744
672	1528	742
673	1531	740
674	1533	738
675	1534	735
676	1536	732
677	1537	730
678	1538	727
679	1539	724
680	1541	722
681	1545	720
682	1546	717
683	1548	715
684	1549	712
685	1550	709
686	1551	706
687	1552	704
688	1554	701
689	1556	699
690	1558	696
691	1560	694
692	1561	691
693	1562	689
694	1564	686
695	1565	683
696	1566	680
697	1567	678
698	1569	675
699	1571	673
700	1574	671
701	1575	668
702	1577	666
703	1578	663
704	1580	661
705	1581	658
706	1583	656
707	1586	654
708	1590	652
709	1592	650
710	1594	647
711	1595	645
712	1596	642
713	1597	639
714	1602	638
715	1603	636
716	1605	633
717	1606	630
718	1607	628
719	1608	625
720	1609	622
721	1610	620
722	1612	617
723	1614	615
724	1617	613
725	1618	611
726	1620	608
727	1621	605
728	1622	603
729	1623	600
730	1625	598
731	1626	595
732	1627	592
733	1630	590
734	1632	588
735	1633	585
736	1634	583
737	1635	580
738	1636	578
739	1638	575
740	1639	573
741	1640	570
742	1642	568
743	1646	566
744	1647	564
745	1649	561
746	1650	559
747	1652	556
748	1653	554
749	1654	551
750	1656	549
751	1658	546
752	1662	545
753	1663	542
754	1665	540
755	1666	537
756	1667	535
757	1669	532
758	1672	530
759	1675	528
760	1676	526
761	1678	524
762	1679	521
763	1680	519
764	1682	516
765	1683	514
766	1685	512
767	1689	510
768	1691	508
769	1693	505
770	1694	503
771	1695	500
772	1696	498
773	1697	495
774	1698	493
775	1700	490
776	1704	489
777	1706	486
778	1707	484
779	1708	481
780	1710	479
781	1711	477
782	1712	474
783	1713	472
784	1715	469
785	1718	467
786	1721	465
787	1722	463
788	1724	461
789	1725	458
790	1726	456
791	1727	453
792	1729	451
793	1730	449
794	1733	446
795	1735	444
796	1736	442
797	1738	440
798	1739	437
799	1741	435
800	1742	432
801	1744	430
802	1748	428
803	1750	426
804	1751	424
805	1752	421
806	1754	419
807	1755	417
808	1756	414
809	1758	412
810	1761	410
811	1764	408
812	1766	406
813	1767	403
814	1768	401
815	1770	399
816	1771	396
817	1773	394
818	1776	392
819	1779	390
820	1780	388
821	1782	385
822	1783	383
823	1784	381
824	1786	378
825	1788	376
826	1793	375
827	1795	372
828	1796	370
829	1798	368
830	1799	365
831	1800	363
832	1802	361
833	1804	359
834	1807	357
835	1809	354
836	1810	352
837	1811	350
838	1812	347
839	1813	345
840	1814	343
841	1816	340
842	1818	338
843	1821	336
844	1822	334
845	1824	332
846	1825	329
847	1827	327
848	1828	325
849	1831	323
850	1833	320
851	1835	318
852	1837	316
853	1838	314
854	1839	312
855	1841	309
856	1842	307
857	1843	305
858	1845	302
859	1847	300
860	1850	298
861	1852	296
862	1853	294
863	1854	291
864	1855	289
865	1856	287
866	1858	285
867	1859	282
868	1861	280
869	1864	278
870	1866	276
871	1867	274
872	1868	271
873	1870	269
874	1871	267
875	1872	265
876	1873	262
877	1874	260
878	1878	258
879	1880	256
880	1881	254
881	1882	251
882	1884	249
883	1885	247
884	1886	245
885	1888	242
886	1890	240
887	1892	238
888	1894	236
889	1896	234
890	1897	232
891	1898	229
892	1900	227
893	1902	225
894	1907	223
895	1910	221
896	1913	219
897	1914	217
898	1916	215
899	1917	213
900	1920	210
901	1922	208
902	1924	206
903	1925	204
904	1927	202
905	1928	200
906	1929	197
907	1930	195
908	1932	193
909	1935	191
910	1938	189
911	1939	187
912	1941	184
913	1942	182
914	1943	180
915	1944	178
916	1946	176
917	1949	174
918	1951	172
919	1952	169
920	1954	167
921	1955	165
922	1956	163
923	1958	161
924	1959	158
925	1961	156
926	1964	154
927	1967	152
928	1968	150
929	1970	148
930	1971	146
931	1973	143
932	1974	141
933	1978	139
934	1981	137
935	1983	135
936	1984	133
937	1986	131
938	1987	129
939	1988	126
940	1991	124
941	1994	122
942	1996	120
943	1998	118
944	1999	116
945	2000	114
946	2001	112
947	2003	109
948	2005	107
949	2009	105
950	2010	103
951	2012	101
952	2013	99
953	2015	97
954	2016	95
955	2017	92
956	2019	90
957	2023	88
958	2025	86
959	2027	84
960	2028	82
961	2029	80
962	2030	78
963	2032	75
964	2034	73
965	2036	71
966	2039	69
967	2040	67
968	2041	65
969	2043	63
970	2044	61
971	2045	58
972	2047	56
973	2049	54
974	2052	52
975	2053	50
976	2055	48
977	2056	46
978	2057	44
979	2058	42
980	2060	39
981	2061	37
982	2063	35
983	2067	33
984	2068	31
985	2070	29
986	2071	27
987	2073	25
988	2074	23
989	2076	20
990	2079	18
991	2081	16
992	2083	14
993	2085	12
994	2086	10
995	2087	8
996	2089	6
997	2090	4
998	2092	2
999	2094	0
